Country,State,City,Longitude,Longitude,Count of Consumer_ID
Mexico,Morelos,Cuernavaca,-99.260789,-99.260789,1
Mexico,Morelos,Cuernavaca,-99.260017,-99.260017,1
Mexico,Morelos,Cuernavaca,-99.25,-99.25,2
Mexico,Morelos,Cuernavaca,-99.243697,-99.243697,1
Mexico,Morelos,Cuernavaca,-99.23624,-99.23624,1
Mexico,Morelos,Cuernavaca,-99.228172,-99.228172,1
Mexico,Morelos,Cuernavaca,-99.223897,-99.223897,1
Mexico,Morelos,Cuernavaca,-99.22299,-99.22299,1
Mexico,Morelos,Cuernavaca,-99.222969,-99.222969,1
Mexico,Morelos,Cuernavaca,-99.220737,-99.220737,1
Mexico,Morelos,Cuernavaca,-99.219589,-99.219589,1
Mexico,Morelos,Cuernavaca,-99.212033,-99.212033,1
Mexico,Morelos,Cuernavaca,-99.206532,-99.206532,1
Mexico,Morelos,Cuernavaca,-99.201616,-99.201616,1
Mexico,Morelos,Cuernavaca,-99.183263,-99.183263,1
Mexico,Morelos,Cuernavaca,-99.183253,-99.183253,1
Mexico,Morelos,Cuernavaca,-99.183251,-99.183251,1
Mexico,Morelos,Cuernavaca,-99.183,-99.183,9
Mexico,Morelos,Cuernavaca,-99.182758,-99.182758,1
Mexico,Morelos,Cuernavaca,-99.18039,-99.18039,1
Mexico,Morelos,Cuernavaca,-99.173584,-99.173584,1
Mexico,Morelos,Jiutepec,-99.157104,-99.157104,1
Mexico,Morelos,Jiutepec,-99.130229,-99.130229,1
Mexico,Morelos,Jiutepec,-99.114979,-99.114979,1
Mexico,Morelos,Jiutepec,-99.097023,-99.097023,1
Mexico,Morelos,Jiutepec,-99.067106,-99.067106,1
Mexico,San Luis Potosi,San Luis Potosi,-101.05468,-101.05468,1
Mexico,San Luis Potosi,San Luis Potosi,-101.028373,-101.028373,1
Mexico,San Luis Potosi,San Luis Potosi,-101.022785,-101.022785,1
Mexico,San Luis Potosi,San Luis Potosi,-101.018547,-101.018547,1
Mexico,San Luis Potosi,San Luis Potosi,-101.014094,-101.014094,1
Mexico,San Luis Potosi,San Luis Potosi,-101.013169,-101.013169,1
Mexico,San Luis Potosi,San Luis Potosi,-101.006317,-101.006317,1
Mexico,San Luis Potosi,San Luis Potosi,-101.005758,-101.005758,1
Mexico,San Luis Potosi,San Luis Potosi,-100.998669,-100.998669,1
Mexico,San Luis Potosi,San Luis Potosi,-100.99861,-100.99861,1
Mexico,San Luis Potosi,San Luis Potosi,-100.997235,-100.997235,1
Mexico,San Luis Potosi,San Luis Potosi,-100.994213,-100.994213,4
Mexico,San Luis Potosi,San Luis Potosi,-100.993873,-100.993873,1
Mexico,San Luis Potosi,San Luis Potosi,-100.99313,-100.99313,1
Mexico,San Luis Potosi,San Luis Potosi,-100.991821,-100.991821,1
Mexico,San Luis Potosi,San Luis Potosi,-100.990448,-100.990448,7
Mexico,San Luis Potosi,San Luis Potosi,-100.989418,-100.989418,1
Mexico,San Luis Potosi,San Luis Potosi,-100.989075,-100.989075,1
Mexico,San Luis Potosi,San Luis Potosi,-100.987683,-100.987683,1
Mexico,San Luis Potosi,San Luis Potosi,-100.987562,-100.987562,18
Mexico,San Luis Potosi,San Luis Potosi,-100.987015,-100.987015,1
Mexico,San Luis Potosi,San Luis Potosi,-100.986843,-100.986843,1
Mexico,San Luis Potosi,San Luis Potosi,-100.986671,-100.986671,1
Mexico,San Luis Potosi,San Luis Potosi,-100.986081,-100.986081,1
Mexico,San Luis Potosi,San Luis Potosi,-100.98554,-100.98554,3
Mexico,San Luis Potosi,San Luis Potosi,-100.98444,-100.98444,1
Mexico,San Luis Potosi,San Luis Potosi,-100.984268,-100.984268,5
Mexico,San Luis Potosi,San Luis Potosi,-100.983325,-100.983325,1
Mexico,San Luis Potosi,San Luis Potosi,-100.983,-100.983,5
Mexico,San Luis Potosi,San Luis Potosi,-100.978803,-100.978803,1
Mexico,San Luis Potosi,San Luis Potosi,-100.978153,-100.978153,1
Mexico,San Luis Potosi,San Luis Potosi,-100.977402,-100.977402,14
Mexico,San Luis Potosi,San Luis Potosi,-100.976028,-100.976028,1
Mexico,San Luis Potosi,San Luis Potosi,-100.975342,-100.975342,2
Mexico,San Luis Potosi,San Luis Potosi,-100.975294,-100.975294,1
Mexico,San Luis Potosi,San Luis Potosi,-100.974891,-100.974891,15
Mexico,San Luis Potosi,San Luis Potosi,-100.974376,-100.974376,1
Mexico,San Luis Potosi,San Luis Potosi,-100.970535,-100.970535,1
Mexico,San Luis Potosi,San Luis Potosi,-100.964355,-100.964355,1
Mexico,San Luis Potosi,San Luis Potosi,-100.963232,-100.963232,1
Mexico,San Luis Potosi,San Luis Potosi,-100.963199,-100.963199,1
Mexico,San Luis Potosi,San Luis Potosi,-100.960364,-100.960364,1
Mexico,San Luis Potosi,San Luis Potosi,-100.959891,-100.959891,1
Mexico,San Luis Potosi,San Luis Potosi,-100.957002,-100.957002,1
Mexico,San Luis Potosi,San Luis Potosi,-100.956935,-100.956935,1
Mexico,San Luis Potosi,San Luis Potosi,-100.950991,-100.950991,1
Mexico,San Luis Potosi,San Luis Potosi,-100.949936,-100.949936,103
Mexico,San Luis Potosi,San Luis Potosi,-100.949147,-100.949147,1
Mexico,San Luis Potosi,San Luis Potosi,-100.949013,-100.949013,2
Mexico,San Luis Potosi,San Luis Potosi,-100.947888,-100.947888,1
Mexico,San Luis Potosi,San Luis Potosi,-100.946527,-100.946527,1
Mexico,San Luis Potosi,San Luis Potosi,-100.944623,-100.944623,1
Mexico,San Luis Potosi,San Luis Potosi,-100.943705,-100.943705,1
Mexico,San Luis Potosi,San Luis Potosi,-100.942383,-100.942383,1
Mexico,San Luis Potosi,San Luis Potosi,-100.942233,-100.942233,1
Mexico,San Luis Potosi,San Luis Potosi,-100.941151,-100.941151,1
Mexico,San Luis Potosi,San Luis Potosi,-100.940664,-100.940664,1
Mexico,San Luis Potosi,San Luis Potosi,-100.939663,-100.939663,1
Mexico,San Luis Potosi,San Luis Potosi,-100.939593,-100.939593,1
Mexico,San Luis Potosi,San Luis Potosi,-100.939588,-100.939588,1
Mexico,San Luis Potosi,San Luis Potosi,-100.938256,-100.938256,1
Mexico,San Luis Potosi,San Luis Potosi,-100.937321,-100.937321,1
Mexico,San Luis Potosi,San Luis Potosi,-100.936335,-100.936335,1
Mexico,San Luis Potosi,San Luis Potosi,-100.936005,-100.936005,1
Mexico,San Luis Potosi,San Luis Potosi,-100.933097,-100.933097,1
Mexico,San Luis Potosi,San Luis Potosi,-100.923811,-100.923811,10
Mexico,San Luis Potosi,San Luis Potosi,-100.920512,-100.920512,1
